REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
LOMBARDIA,COMO,VALSOLDA,2346,2346,100.0,24,24,Aggiunti civici e coordinate,2026-09,2322,2322,2026-09-15,013234,C936,c_c936
TOSCANA,AREZZO,SANSEPOLCRO,7062,7060,99.97,23,23,Aggiunti civici e coordinate,2026-09,7037,7039,2026-09-15,051034,I155,c_i155
PUGLIA,LECCE,LECCE,47999,47999,100.0,22,22,Aggiunti civici e coordinate,2026-09,47977,47977,2026-09-15,075035,E506,c_e506
LOMBARDIA,BRESCIA,CASTENEDOLO,4690,4675,99.68,21,32,Aggiunti civici e coordinate,2026-09,4654,4658,2026-09-15,017043,C293,c_c293
LIGURIA,GENOVA,GENOVA,133247,133247,100.0,21,21,Aggiunti civici e coordinate,2026-09,133226,133226,2026-09-15,010025,D969,c_d969
TOSCANA,FIRENZE,FIESOLE,4150,4144,99.86,19,25,Aggiunti civici e coordinate,2026-09,4125,4125,2026-09-15,048015,D575,c_d575
EMILIA ROMAGNA,FERRARA,FERRARA,57203,57203,100.0,19,19,Aggiunti civici e coordinate,2026-09,57184,57184,2026-09-15,038008,D548,c_d548
LIGURIA,IMPERIA,VALLEBONA,930,929,99.89,19,19,Aggiunti civici e coordinate,2026-09,910,911,2026-09-15,008062,L596,c_l596
EMILIA ROMAGNA,RAVENNA,CERVIA,16654,16654,100.0,18,18,Aggiunti civici e coordinate,2026-09,16636,16636,2026-09-15,039007,C553,c_c553
PIEMONTE,TORINO,CASTAGNOLE PIEMONTE,897,18,2.01,18,0,Aggiunte coordinate,2026-09,0,897,2026-09-15,001065,C048,c_c048
EMILIA ROMAGNA,PARMA,PARMA,35880,35880,100.0,17,17,Aggiunti civici e coordinate,2026-09,35863,35863,2026-09-15,034027,G337,c_g337
LOMBARDIA,VARESE,VARESE,13778,13778,100.0,17,17,Aggiunti civici e coordinate,2026-09,13761,13761,2026-09-15,012133,L682,c_l682
EMILIA ROMAGNA,FORLI,CESENA,37753,37753,100.0,16,16,Aggiunti civici e coordinate,2026-09,37737,37737,2026-09-15,040007,C573,c_c573
SARDEGNA,ORISTANO,GHILARZA,5620,341,6.07,16,7,Aggiunti civici e coordinate,2026-09,325,5613,2026-09-15,115024,E004,c_e004
VENETO,PADOVA,PIOVE DI SACCO,8055,8055,100.0,15,15,Aggiunti civici e coordinate,2026-09,8040,8040,2026-09-15,028065,G693,c_g693
CAMPANIA,SALERNO,VIBONATI,2690,2690,100.0,15,0,Aggiunte coordinate,2026-09,2675,2690,2026-09-15,065156,L835,c_l835
LOMBARDIA,BERGAMO,CASTELLI CALEPIO,4807,4798,99.81,14,23,Aggiunti civici e coordinate,2026-09,4784,4784,2026-09-15,016062,C079,c_c079
EMILIA ROMAGNA,RIMINI,RIMINI,48446,48446,100.0,14,14,Aggiunti civici e coordinate,2026-09,48432,48432,2026-09-15,099014,H294,c_h294
CALABRIA,COSENZA,TORTORA,5520,568,10.29,14,0,Aggiunte coordinate,2026-09,554,5520,2026-09-15,078149,L305,c_l305
PIEMONTE,TORINO,NICHELINO,6039,6022,99.72,13,27,Aggiunti civici e coordinate,2026-09,6009,6012,2026-09-15,001164,F889,c_f889
EMILIA ROMAGNA,BOLOGNA,CREVALCORE,5429,5429,100.0,13,13,Aggiunti civici e coordinate,2026-09,5416,5416,2026-09-15,037024,D166,c_d166
PIEMONTE,ALESSANDRIA,ACQUI TERME,10320,10320,100.0,13,13,Aggiunti civici e coordinate,2026-09,10307,10307,2026-09-15,006001,A052,c_a052
TOSCANA,GROSSETO,GROSSETO,36514,36514,100.0,13,13,Aggiunti civici e coordinate,2026-09,36501,36501,2026-09-15,053011,E202,c_e202
